named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Direct acid -> amine (reductive),5,5,1,1.0,scent_drd2_seed44_m10,best_candidate,at100rxn
Reductive amination (ketone),4,4,1,1.0,scent_drd2_seed44_m10,best_candidate,at100rxn
Functional-group interconversion (Br -> Cl),3,3,1,1.0,scent_drd2_seed44_m10,best_candidate,at100rxn
Pictet-Spengler cyclisation,3,3,1,1.0,scent_drd2_seed44_m10,best_candidate,at100rxn
Functional-group interconversion (Br -> I),1,1,1,1.0,scent_drd2_seed44_m10,best_candidate,at100rxn
Reductive amination (aldehyde),110,110,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Direct acid -> amine (reductive),63,63,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Reductive amination (ketone),34,34,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Pictet-Spengler cyclisation,25,25,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Br -> Cl),22,22,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Br -> I),22,22,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Sonogashira coupling,8,8,1,1.0,scent_drd2_seed44_m10,best_candidate,full
aza-Michael addition (enone),6,6,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Br -> Oh),5,5,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Br -> Sh),3,3,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Cl -> I),1,1,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Functional-group interconversion (Cl -> Br),1,1,1,1.0,scent_drd2_seed44_m10,best_candidate,full
Direct acid -> amine (reductive),61,4,24,15.25,scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn
Reductive amination (ketone),14,1,14,14.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn
Direct acid -> amine (reductive),198,22,24,9.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,full
Buchwald-Hartwig amination,62,5,16,12.4,scent_drd2_seed44_m10,hub_batching_modes10_reward,full
Reductive amination (ketone),26,2,14,13.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,full
Amide coupling,12,2,7,6.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,full
Reductive amination (aldehyde),2,1,2,2.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,full
Direct acid -> amine (reductive),61,4,24,15.25,scent_drd2_seed44_m10,hub_batching_modes10_group,at100rxn
Reductive amination (ketone),14,1,14,14.0,scent_drd2_seed44_m10,hub_batching_modes10_group,at100rxn
Direct acid -> amine (reductive),198,22,24,9.0,scent_drd2_seed44_m10,hub_batching_modes10_group,full
Buchwald-Hartwig amination,62,5,16,12.4,scent_drd2_seed44_m10,hub_batching_modes10_group,full
Reductive amination (ketone),26,2,14,13.0,scent_drd2_seed44_m10,hub_batching_modes10_group,full
Amide coupling,12,2,7,6.0,scent_drd2_seed44_m10,hub_batching_modes10_group,full
Reductive amination (aldehyde),2,1,2,2.0,scent_drd2_seed44_m10,hub_batching_modes10_group,full
