tag,arm,smiles,hub,n_steps,route_yield,n_direct_acid_steps,reactions
drd2_drd2_seed43,best_candidate,NCCN1CCN(c2ccccc2CCN(Cc2c[nH]c3cc(Br)ccc23)C2CCC2)CC1,Brc1ccc2c(CN(CCc3ccccc3Br)C3CCC3)c[nH]c2c1,3,0.45,0,?|?|?
drd2_drd2_seed43,best_candidate,COc1cccc2c1CCNC2CCN(CCc1ccc(O)cc1)C1CNC1,O=CCCN(CCc1ccc(O)cc1)C1CNC1,3,0.402,0,?|?|?
drd2_drd2_seed43,best_candidate,Oc1ccc(CCN(CCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)C2CNC2)cc1,Oc1ccc(CCNCCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)cc1,4,0.315,1,?|?|?|?
drd2_drd2_seed43,best_candidate,CCCN(CC1c2cc(O)ccc2CCN1Cc1c[nH]c2cc(Br)ccc12)C1CC1,CCCN(CC1NCCc2ccc(O)cc21)C1CC1,4,0.26381,1,?|?|?|?
drd2_drd2_seed43,best_candidate,NCCN1CCc2ccccc2C1CN(Cc1c[nH]c2cc(Br)ccc12)C1CCC1,NCCN1CCc2ccccc2C1CNC1CCC1,4,0.24622,2,?|?|?|?
drd2_drd2_seed43,best_candidate,CCC1c2cccc(N3CCN(CCC=O)CC3)c2CCN1Cc1c[nH]c2cc(Br)ccc12,CCC1NCCc2c1cccc2N1CCN(CCC=O)CC1,2,0.5025,0,?|?
drd2_drd2_seed43,best_candidate,COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Cl)cc12)C1CNC1,COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,4,0.29531,1,?|?|?|?
drd2_drd2_seed43,best_candidate,COc1cccc2c1CCN(CCN)C2CCN(Cc1c[nH]c2ccc(Br)cc12)C1CC1,COc1cccc2c1CCN(CCN)C2CCNC1CC1,4,0.2814,1,?|?|?|?
drd2_drd2_seed43,best_candidate,CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Cl)ccc12,CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Br)ccc12,4,0.2814,1,?|?|?|?
drd2_drd2_seed43,best_candidate,CCCN1CCCC1CN1CCc2c(OC)cccc2C1c1c[nH]c2cc(Br)ccc12,CCCN1CCCC1CNCCc1ccccc1OC,3,0.35175,1,?|?|?
drd2_drd2_seed43,best_candidate,CN(CCN(CCN1CCCCC1)c1ccccc1S)Cc1c[nH]c2ccc(Br)cc12,CNCCN(CCN1CCCCC1)c1ccccc1S,4,0.294,2,?|?|?|?
drd2_drd2_seed43,best_candidate,CCCN(CCc1ccccc1OC)C1CN(Cc2c[nH]c3ccc(F)cc23)C1,CCCN(CCc1ccccc1OC)C1CNC1,3,0.45,0,?|?|?
drd2_drd2_seed43,best_candidate,COc1cccc2c1CCNC2CN1CCCC(N(CCBr)c2ccc(Br)cc2O)C1,COc1cccc2c1CCNC2CN1CCCC(Nc2ccc(Br)cc2O)C1,4,0.24622,2,?|?|?|?
drd2_drd2_seed43,best_candidate,C#Cc1ccccc1CCN(CCC)C1CN(Cc2c[nH]c3cc(Br)ccc23)C1,C#Cc1ccccc1CCN(CCC)C1CNC1,4,0.3825,0,?|?|?|?
drd2_drd2_seed43,best_candidate,CCCN1CCCC1CN(CC1NCCc2ccccc21)c1cc(F)ccc1O,CCCN1CCCC1C(=O)O,2,0.525,1,?|?
drd2_drd2_seed43,best_candidate,COc1cccc2c1CCN(C1CCCN(CCN)C1)C2c1c[nH]c2ccc(Cl)cc12,COc1cccc2c1CCN(C1CCCN(CCN)C1)C2c1c[nH]c2ccc(Br)cc12,4,0.26381,1,?|?|?|?
drd2_drd2_seed43,best_candidate,CCC1c2cc(O)ccc2CCN1C1CCN(Cc2c[nH]c3ccc(F)cc23)CC1,CCC1c2cc(O)ccc2CCN1C1CCNCC1,3,0.37688,0,?|?|?
drd2_drd2_seed43,best_candidate,OCC1CCCN1CCC1c2ccccc2CCN1Cc1c[nH]c2cc(I)ccc12,OCC1CCCN1CCC1c2ccccc2CCN1Cc1c[nH]c2cc(Br)ccc12,4,0.3015,0,?|?|?|?
drd2_drd2_seed43,best_candidate,CN(CCN(c1ccccc1S)C1CCN(Cc2c[nH]c3cc(Br)ccc23)C1)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,best_candidate,COc1ccccc1CCN(CCCN(CCN)Cc1c[nH]c2cc(Br)ccc12)C1CCC1,COc1ccccc1CCN(CCCNCCN)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,best_candidate,NCCN(CCCN1CCc2ccc(O)cc2C1c1c[nH]c2cc(Br)ccc12)C1CCC1,Oc1ccc2c(c1)C(c1c[nH]c3cc(Br)ccc13)N(CCCNC1CCC1)CC2,4,0.24622,2,?|?|?|?
drd2_drd2_seed43,best_candidate,COc1cccc2c1CCN(Cc1c[nH]c3ccc(F)cc13)C2CCN1CCCCC1,COc1cccc2c1CCNC2CCN1CCCCC1,3,0.402,0,?|?|?
drd2_drd2_seed43,best_candidate,C=CC1c2cccc(OC)c2CCN1CC1CCN1Cc1c[nH]c2ccc(Br)cc12,C=CC1c2cccc(OC)c2CCN1CC1CCN1,3,0.35175,1,?|?|?
drd2_drd2_seed43,best_candidate,Oc1ccc2c(c1)C(c1c[nH]c3ccc(Cl)cc13)N(CC1CCCN1C1CNC1)CC2,Oc1ccc2c(c1)C(c1c[nH]c3ccc(Br)cc13)N(CC1CCCN1C1CNC1)CC2,4,0.26381,1,?|?|?|?
drd2_drd2_seed43,best_candidate,CCCN1CCC1CN1CCc2ccc(O)cc2C1c1c[nH]c2cc(I)ccc12,CCCN1CCC1CN1CCc2ccc(O)cc2C1c1c[nH]c2cc(Br)ccc12,4,0.26381,1,?|?|?|?
drd2_drd2_seed43,best_candidate,NCCCN(CCN(Cc1c[nH]c2cc(Br)ccc12)c1ccc(Br)cc1)CC1CCN1,NCCCN(CCNc1ccc(Br)cc1)CC1CCN1,2,0.525,1,?|?
drd2_drd2_seed43,best_candidate,COc1ccccc1CCN(CCCNC1CC1)Cc1c[nH]c2ccc(Cl)cc12,COc1ccccc1CCN(CCC=O)Cc1c[nH]c2ccc(Cl)cc12,4,0.36,0,?|?|?|?
drd2_drd2_seed43,hub_batching,CN(CCNCCc1c[nH]c2ccc(O)cc12)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CN(CCNCCc1ccc(O)cc1)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CN(CC1=NCCc2ccc(O)cc21)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.5625,0,?|?
drd2_drd2_seed43,hub_batching,CN(CCNCc1cccc(O)c1)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CN(CC1=NCCc2c1[nH]c1ccc(O)cc21)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.6,0,?|?
drd2_drd2_seed43,hub_batching,COc1ccccc1CCNCCN(C)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CN(CCNCc1ccccc1O)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CN(CC(=O)Oc1ccc2[nH]cc(CCN)c2c1)C1CCC1,CN(CC(=O)O)C1CCC1,2,0.7125,0,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2Cc2c[nH]c3ccc(Br)cc23)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc2c(c1)C(c1c[nH]c3ccc(Br)cc13)N(CC1CCN1)CC2,Oc1ccc(CCNCC2CCN2)cc1,2,0.469,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(Cc2c[nH]c3ccc(Br)cc23)CC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc2c(c1)C(c1ccnc(Br)c1)N(CC1CCN1)CC2,Oc1ccc(CCNCC2CCN2)cc1,2,0.469,1,?|?
drd2_drd2_seed43,hub_batching,CCCN1CCC1CNCCc1ccc(O)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2C(CCl)c2ccc(Cl)c(Cl)c2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,CCC1c2cc(O)ccc2CCN1CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.469,1,?|?
drd2_drd2_seed43,hub_batching,NC(Cc1c[nH]c2ccccc12)CN(CCc1ccc(O)cc1)CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,COc1cccc(C(C)N2CCC2CNCCc2ccc(O)cc2)c1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,NCCc1ccccc1N1CCC1CNCCc1ccc(O)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.56,1,?|?
drd2_drd2_seed43,hub_batching,Nc1c(F)cccc1CN(CCc1ccc(O)cc1)CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(CC2CCN2)C(CCl)c2ccc(Cl)c(Cl)c2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(Cc2ccnc(Br)c2)CC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,COc1cc(C(F)(F)F)ccc1C1c2cc(O)ccc2CCN1CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.469,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(CC2CCN2)CC2Cc3ccccc3CN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,COc1cccc(C(C)N(CCc2ccc(O)cc2)CC2CCN2)c1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,O=Cc1c[nH]c2ccc(N3CCC3CNCCc3ccc(O)cc3)cc12,Oc1ccc(CCNCC2CCN2)cc1,2,0.56,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(CC2CCN2)C2CNC2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,N#Cc1cc(N)cc(N2CCC2CNCCc2ccc(O)cc2)c1,Oc1ccc(CCNCC2CCN2)cc1,2,0.56,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2C(CBr)c2cccs2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2Cc2cccc(N=C=S)c2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Nc1ccc(C(=O)Oc2ccc(CCNCC3CCN3)cc2)cc1Br,Oc1ccc(CCNCC2CCN2)cc1,2,0.665,1,?|?
drd2_drd2_seed43,hub_batching,O=C(CCl)c1ccc(F)cc1N1CCC1CNCCc1ccc(O)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,COc1cc(C(F)(F)F)ccc1CN1CCC1CNCCc1ccc(O)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Cc1sc(Cl)nc1CN(CCc1ccc(O)cc1)CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,NCCc1ccccc1N(CCc1ccc(O)cc1)CC1CCN1,Oc1ccc(CCNCC2CCN2)cc1,2,0.56,1,?|?
drd2_drd2_seed43,hub_batching,NC1(CN(CCc2ccc(O)cc2)CC2CCN2)CCC1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2Cc2nc3ccccc3[nH]2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2c2cscn2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.56,1,?|?
drd2_drd2_seed43,hub_batching,NC(Cc1ccc(O)cc1)C(=O)Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.665,1,?|?
drd2_drd2_seed43,hub_batching,Nc1ccc(C(=O)N2CCC2CNCCc2ccc(O)cc2)cc1Br,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,NC(Cc1ccc([N+](=O)[O-])cc1)CN1CCC1CNCCc1ccc(O)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2Cc2ncccc2C(F)(F)F)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCN(CC2CCN2)C(CBr)c2cccs2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
drd2_drd2_seed43,hub_batching,NC(CCCN(CCc1ccc(O)cc1)CC1CCN1)C(=O)O,Oc1ccc(CCNCC2CCN2)cc1,2,0.49,2,?|?
drd2_drd2_seed43,hub_batching,Oc1ccc(CCNCC2CCN2C2CCCNC2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,0.525,1,?|?
