tag,arm,smiles,hub,n_steps,route_yield,n_direct_acid_steps,reactions
seh_seed43,best_candidate,c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,3,0.39375,1,?|?|?
seh_seed43,best_candidate,c1cc2[nH]c(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)nn2)cc1,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,2,0.49,1,?|?
seh_seed43,best_candidate,O=C(NC1CC1)c1ccc2nc(-c3ccc(Cn4cc(CNC(=O)C5CNC5)c5ccccc54)cc3)oc2c1,O=C(NC1CC1)c1ccc2nc(-c3ccc(CCl)cc3)oc2c1,3,0.39375,0,?|?|?
seh_seed43,best_candidate,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1,NCc1cn(CC2CC2)c2ccccc12,1,0.75,0,?
seh_seed43,best_candidate,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1,NCc1cn(CC2CC2)c2ccccc12,2,0.5625,0,?|?
seh_seed43,best_candidate,c1ccc2c(c1)c(CNc1ccc3[nH]c(C4CNC4)nc3c1)cn2Cc1ccc(-c2nnn(CC3CC3)n2)cc1,,1,0.8,0,?
seh_seed43,best_candidate,O=C(NC1CC1)c1ccc(CNc2ccc(NCc3cn(CC4CC4)c4ccccc34)cc2)cc1,O=Cc1ccc(C(=O)NC2CC2)cc1,1,0.8,0,?
seh_seed43,best_candidate,O=C(Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1)c1ccc2nc(C3CNC3)oc2c1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,2,0.525,0,?|?
seh_seed43,best_candidate,c1cc(-c2ccc(NCc3cn(CC4CC4)c4ccccc34)cc2)cc(-c2nnn(CC3CC3)n2)c1,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,2,0.525,0,?|?
seh_seed43,best_candidate,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,Ic1cn(CC2CC2)cn1,2,0.5625,0,?|?
seh_seed43,best_candidate,O=C(Nc1cc(-c2cccc(NCc3cccc(-c4cnc(F)nc4)c3)c2)n[nH]1)C1CNC1,OB(O)c1cccc(NCc2cccc(-c3cnc(F)nc3)c2)c1,1,0.75,0,?
seh_seed43,best_candidate,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1cc(-c2cn(CC3CC3)nn2)n[nH]1,C#Cc1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)[nH]n1,2,0.665,0,?|?
seh_seed43,best_candidate,c1ccc2c(c1)CCN=C2c1ccc(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)cc1,O=Cc1ccc(C2=NCCc3ccccc32)cc1,2,0.6,0,?|?
seh_seed43,best_candidate,c1cc(-c2cc(NCc3ccc4[nH]c(C5CNC5)nc4c3)[nH]n2)cc(-c2nnn(CC3CC3)n2)c1,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,2,0.49,1,?|?
seh_seed43,best_candidate,O=C(Nc1cc(-c2ccc3c(ccn3Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c2)n[nH]1)C1CNC1,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,2,0.525,0,?|?
