recorded_amine,score_amine,counterfactual_amide,score_amide
O=C(Nc1ccnc2ccccc12)C1CCN1Cc1ccc2[nH]c(-c3ccc4nc(C5CNC5)oc4c3)nc2c1,7.723736,O=C(Nc1ccnc2ccccc12)C1CCN1C(=O)c1ccc2[nH]c(-c3ccc4nc(C5CNC5)oc4c3)nc2c1,7.380371
OB(O)c1ccc(NCC2CN(Cc3ccc4nc(-c5ccc6oc(C7CNC7)nc6c5)oc4c3)C2)cc1,6.743013,O=C(c1ccc2nc(-c3ccc4oc(C5CNC5)nc4c3)oc2c1)N(CC1CNC1)c1ccc(B(O)O)cc1,6.57515
Nc1cc(CNc2ccc(Br)cc2)ccc1O,3.921141,Nc1cc(C(=O)Nc2ccc(Br)cc2)ccc1O,4.156073
O=Cc1ccccc1CNCCc1ccccc1,4.117395,O=Cc1ccccc1C(=O)NCCc1ccccc1,4.098834
c1cc(N(Cc2ccc(CO[C@H]3CN4CCC3CC4)cc2)c2ccc3nc([C@@H]4CCCN4)oc3c2)c2[nH]ccc2c1,7.749631,O=C(c1ccc(CO[C@H]2CN3CCC2CC3)cc1)N(c1ccc2nc([C@@H]3CCCN3)oc2c1)c1cccc2cc[nH]c12,7.775378
O=C([C@@H]1CCCN1)N1CCC(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)CC1,7.44843,O=C(Nc1ccc(-c2cn(CC3CC3)nn2)cc1)C1CCN(C(=O)[C@@H]2CCCN2)CC1,7.485874
c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2cc(NCC3CNC3)[nH]n2)c1,8.162323,O=C(Nc1cc(-c2cccc(NCc3ccc4nc(C5CNC5)[nH]c4c3)c2)n[nH]1)C1CNC1,8.222691
C[C@H](NC(=O)C1CN(Cc2ccc3nc(-c4ccc(CO[C@H]5CN6CCC5CC6)cc4)[nH]c3c2)C1)c1ccccc1,7.800463,C[C@H](NC(=O)C1CN(C(=O)c2ccc3nc(-c4ccc(CO[C@H]5CN6CCC5CC6)cc4)[nH]c3c2)C1)c1ccccc1,7.674747
O=C(O)c1ccccc1Nc1ccc(CNc2ccnc3ccccc23)cc1,5.210863,O=C(Nc1ccnc2ccccc12)c1ccc(Nc2ccccc2C(=O)O)cc1,5.321097
c1cc(NCc2ccc3nc([C@@H]4CCCN4)oc3c2)cc(-c2ccc(NC[C@@H]3Cc4ccccc4CN3)cc2)c1,8.02251,O=C(Nc1ccc(-c2cccc(NCc3ccc4nc([C@@H]5CCCN5)oc4c3)c2)cc1)[C@@H]1Cc2ccccc2CN1,8.016776
O=C(O)c1ccc(Cn2cc(CCNCc3ccc4nc(-c5ccc(-c6nnn(CC7CC7)n6)nc5)oc4c3)c3ccccc32)cc1,7.405772,O=C(O)c1ccc(Cn2cc(CCNC(=O)c3ccc4nc(-c5ccc(-c6nnn(CC7CC7)n6)nc5)oc4c3)c3ccccc32)cc1,7.536074
Brc1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)[nH]n1,6.746542,O=C(Nc1cc(Br)n[nH]1)c1ccc(-c2nnn(CC3CC3)n2)nc1,6.643183
C[C@H](NCC1CNC1)C(=O)O,2.593802,C[C@H](NC(=O)C1CNC1)C(=O)O,3.791658
O=Cc1ccc(CN2CCNCC2)cc1,3.400945,O=Cc1ccc(C(=O)N2CCNCC2)cc1,4.262877
c1cc(CNCCc2cn(CC3CC3)c3ccccc23)cc(-c2ccc3oc(C4CCN4)nc3c2)c1,7.82127,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1cccc(-c2ccc3oc(C4CCN4)nc3c2)c1,8.137353
O=Cc1cccc(C(=O)N2CCC2CNc2ccc(B(O)O)cc2)c1,4.387882,O=Cc1cccc(C(=O)N2CCC2C(=O)Nc2ccc(B(O)O)cc2)c1,4.606662
O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)Nc1cccc(-c2ccc(NC[C@@H]3Cc4ccccc4CN3)cc2)c1,7.846359,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)Nc1cccc(-c2ccc(NC(=O)[C@@H]3Cc4ccccc4CN3)cc2)c1,7.8638
O=C(NC1(C(=O)NC23CC(C2)C3)CCC1)c1cccc(-c2cc(NCc3ccc(CCl)cc3)[nH]n2)c1,6.991997,O=C(Nc1cc(-c2cccc(C(=O)NC3(C(=O)NC45CC(C4)C5)CCC3)c2)n[nH]1)c1ccc(CCl)cc1,7.018183
OC[C@H]1CCCN1c1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1,6.934038,O=C(Nc1ccc(N2CCC[C@@H]2CO)cc1)c1ccc2nc(C3CNC3)oc2c1,7.153806
O=C(Nc1cc(-c2cccc(NC[C@H]3CCCN3C(=O)C3CCNCC3)c2)n[nH]1)C1CNC1,7.517929,O=C(Nc1cc(-c2cccc(NC(=O)[C@H]3CCCN3C(=O)C3CCNCC3)c2)n[nH]1)C1CNC1,7.018019
c1cc(NCC2CCN2C[C@@H]2Cc3ccccc3CN2)cc(-c2cccc3nc(C4CCN4)oc23)c1,7.768456,O=C([C@@H]1Cc2ccccc2CN1)N(CC1CCN1)c1cccc(-c2cccc3nc(C4CCN4)oc23)c1,7.412838
Fc1cccc(-c2nc3cc(CNc4ccc(NCc5c[nH]c6ccccc56)cc4)ccc3[nH]2)n1,6.51887,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)c1ccc2[nH]c(-c3cccc(F)n3)nc2c1,6.782516
O=C(NCCc1cn(CC2CC2)c2ccccc12)[C@@H]1Cc2ccccc2CN1Cc1ccc2nc(C3CNC3)oc2c1,7.787605,O=C(NCCc1cn(CC2CC2)c2ccccc12)[C@@H]1Cc2ccccc2CN1C(=O)c1ccc2nc(C3CNC3)oc2c1,7.576859
c1ccc([C@H](CNc2ccc(-c3cn(CC4CC4)nn3)cc2)NCC2CCN2)cc1,7.946015,O=C(Nc1ccc(-c2cn(CC3CC3)nn2)cc1)[C@H](NCC1CCN1)c1ccccc1,7.621318
O=C(NCCc1cn(CC2CC2)c2ccccc12)C1CCN(Cc2ccc(CO[C@H]3CN4CCC3CC4)cc2)CC1,7.958946,O=C(NCCc1cn(CC2CC2)c2ccccc12)C1CCN(C(=O)c2ccc(CO[C@H]3CN4CCC3CC4)cc2)CC1,7.937145
OB(O)c1cccc(CNc2cccc(Br)c2O)c1,3.203087,O=C(Nc1cccc(Br)c1O)c1cccc(B(O)O)c1,3.315481
Fc1nc(NCc2cccc3oc(C4CNC4)nc23)c2nc[nH]c2n1,6.526074,O=C(Nc1nc(F)nc2[nH]cnc12)c1cccc2oc(C3CNC3)nc12,6.845559
O=C(NC1CC1)c1ccc2nc(-c3ccc(CN4CCC4C(=O)O)cc3)oc2c1,6.977549,O=C(NC1CC1)c1ccc2nc(-c3ccc(C(=O)N4CCC4C(=O)O)cc3)oc2c1,7.235156
O=C(O)c1cccc(N2CCC[C@H](CN3CC(CO)C3)C2)n1,3.958859,O=C(O)[C@H]1CCCN(c2cccc(C(=O)N3CC(CO)C3)n2)C1,4.151263
c1ccc2c(c1)CN[C@H](CN1CC(COCC3CC3)C1)C2,5.561049,O=C([C@@H]1Cc2ccccc2CN1)N1CC(COCC2CC2)C1,6.023216
C[C@H](NC[C@@H]1Cc2ccccc2CN1)C(=O)Nc1ccc(-c2cccc(NC(=O)[C@@H]3CCCN3)c2)cc1,7.571507,C[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)Nc1ccc(-c2cccc(NC(=O)[C@@H]3CCCN3)c2)cc1,7.775786
O=Cc1ccnc(N2CCC2CNc2cccc(-c3cc(NC(=O)C4CNC4)[nH]n3)c2)c1,7.238362,O=Cc1ccnc(N2CCC2C(=O)Nc2cccc(-c3cc(NC(=O)C4CNC4)[nH]n3)c2)c1,6.9698
